cin,company_name,entity_type,director_name,full_address,pincode,state_name,city,pan,industry,incorporation_date,last_annual_return,current_status
U46149KA3-20PTC178924,Pandey Works,Public Ltd,Rajesh Pandey,"No. 386, 4th Avenue, Rajajinagar, Bengaluru - 560047",560047,KARNATAKA,Bengaluru Rural,DGSTG0454G,construction,2001-03-20,19/05/2025,Active
U24751KA2-19PTC530915,Gowda Brothers,Public Ltd,Kiran Gowda,"No. 400, 1st Avenue, Koramangala, Bengaluru - 560092",560092,KARNATAKA,Bengaluru Urban,EGIHK3829N,technology,2005-02-19,09-08-2020,Dissolved
U37034KA2021PTC518033,Reddy Brothers,Public Ltd,Raghav Reddy,"No. 190, 1st Extension, Bellandur, Bengaluru - 560055",560055,KARNATAKA,Bengaluru Rural,AIRHM9158H,technology,08/09/2021,30/08/2026,Active
U86582KA2013PTC659629,Verma Manufacturing,Partnership,,"No. 360, 3rd Extension, Mahadevapura, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,,construction,25-09-2013,30-04-2026,Active
U93887KA2-27PTC639775,Pillai Technologies,Pvt Ltd,Rohan Pillai,"No. 31, 2nd Avenue, Koramangala, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Rural,AHHHC6976V,technology,2001-02-27,22-11-2026,Active
U31499KA7-15PTC517827,Kulkarni Associates,Llp,,"No. 440, 2nd Cross, Indiranagar, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Rural,PATFS0746I,technology,2018-07-15,06-01-2026,Active
U18022KA3-16PTC118956,Murthy Exports,Partnership,Rajesh Murthy,"No. 48, 2nd Avenue, Banashankari, Bengaluru - 560071",560071,KARNATAKA,Bengaluru Urban,TQTCI5946D,technology,2017-03-16,06-11-2022,Under Liquidation
U23680KA2017PTC907584,Iyer Agency,Partnership,Sohan Iyer,"No. 461, 4th Cross, MG Road, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Urban,JDNAV7108T,manufacturing,08-02-2017,30-10-2025,Active
U15393KA3-23PTC445904,Prasad Traders,Public Ltd,Sohan Prasad,"No. 370, 2nd Street, Brookefield, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Urban,HZRFA5670T,technology,2012-03-23,09/05/2026,Active
U72092KA4-25PTC374634,Tiwari Enterprises,Pvt Ltd,Sohan Tiwari,"No. 233, 3rd Street, Indiranagar, Bengaluru - 560070",560070,KARNATAKA,Bengaluru Rural,,construction,2018-04-25,08/02/2025,Active
U11909KA2-15PTC256633,Kulkarni Manufacturing,Partnership,Mahesh Kulkarni,"No. 112, 4th Layout, Basavanagudi, Bengaluru - 560097",560097,KARNATAKA,Bengaluru Urban,ZDGAE3396R,manufacturing,2000-12-15,,Dormant under section 455
U37899KA2001PTC148155,Iyer Pvt Ltd,Partnership,Divya Iyer,"No. 68, 1st Cross, MG Road, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Urban,UFVAG5827Z,technology,11-12-2001,05-11-2024,Dormant under section 455
U88176KA2019PTC473178,Mehta & Sons,Pvt Ltd,Nagaraj Mehta,"No. 259, 5th Layout, Yelahanka, Bengaluru - 560040",,KARNATAKA,Bengaluru Urban,HQAHM4174C,manufacturing,22/02/2019,2024-01-19,Dormant under section 455
U22725KA2001PTC685061,Naidu & Co.,Public Ltd,Ritu Naidu,"No. 217, 1st Cross, Brookefield, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Rural,RMCPC4731B,construction,06-03-2001,2021-07-01,Dissolved
U48560KA2004PTC552977,Kulkarni Agency,Llp,Pooja Kulkarni,"No. 160, 3rd Avenue, Basavanagudi, Bengaluru - 560018",,KARNATAKA,Bengaluru Urban,ESIFL0854E,trading,21/12/2004,30/08/2024,Dormant under section 455
U95672KA2000PTC224062,Patil Pvt Ltd,Llp,Anita Patil,"No. 361, 2nd Extension, Bommanahalli, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Rural,NIFAB0321I,manufacturing,07/12/2000,25/09/2026,Active
U24810KA2014PTC761675,Naidu Mills,Public Ltd,Venkatesh Naidu,"No. 179, 3rd Street, Brookefield, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Urban,VXCPH4408X,technology,01-07-2014,,Active
U45570KA2007PTC409986,Kamath Engineers,Public Ltd,Mahesh Kamath,"No. 293, 2nd Cross, ITPL Main Road, Bengaluru - 560058",560058,KARNATAKA,Bengaluru Rural,,technology,13/02/2007,17/10/2025,Active
U61563KA2000PTC607456,Hegde Brothers,Pvt Ltd,Seema Hegde,"No. 340, 4th Main Road, Varthur, Bengaluru - 560092",560092,KARNATAKA,Bengaluru Urban,KIPTU3353I,technology,25/10/2000,08/08/2025,Active
U59050KA2019PTC272841,Pandey Technologies,Pvt Ltd,Kavita Pandey,"No. 395, 5th Avenue, Varthur, Bengaluru - 560022",,KARNATAKA,Bengaluru Urban,,services,06/10/2019,27-01-2024,Dormant under section 455
U52415KA3-04PTC460912,Murthy Manufacturing,Partnership,Pramod Murthy,"No. 426, 4th Road, Whitefield, Bengaluru - 560066",560066,KARNATAKA,Bengaluru Urban,NZVAE8043D,trading,2006-03-04,29-04-2026,Active
U33364KA5-13PTC293186,Verma Constructions,Llp,Pooja Verma,"No. 426, 4th Street, Electronic City, Bengaluru - 560092",560092,KARNATAKA,Bengaluru Rural,OKMTM9207L,technology,2011-05-13,15/07/2023,Dormant under section 455
U93257KA2012PTC778970,Gupta Industries,Llp,Vinod Gupta,"No. 309, 2nd Extension, Banashankari, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Rural,,technology,25-04-2012,2020-04-27,Struck Off
U60960KA2005PTC418320,Mishra Brothers,Llp,Vijay Mishra,"No. 310, 2nd Street, Jayanagar, Bengaluru - 560073",560073,KARNATAKA,Bengaluru Rural,RKNTV1086O,technology,13/04/2005,21/12/2024,Dormant under section 455
U67288KA2017PTC442105,Jain Exports,Pvt Ltd,Kavita Jain,"No. 475, 2nd Avenue, Varthur, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Rural,FPSHG1848O,manufacturing,10-11-2017,22/06/2024,Dormant under section 455
U10800KA2-01PTC612857,Gowda Solutions,Partnership,Nagaraj Gowda,"No. 85, 2nd Cross, Rajajinagar, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Urban,TVBFU0451Y,technology,2006-12-01,11/09/2024,Dormant under section 455
U23320KA2004PTC274298,Agarwal Works,Public Ltd,Mohan Agarwal,"No. 153, 4th Road, JP Nagar, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Urban,VOVPC0656Y,trading,05/10/2004,,Active
U61693KA2016PTC233930,Pai Agency,Pvt Ltd,Lakshmi Pai,"No. 12, 1st Layout, Hebbal, Bengaluru - 560041",560041,KARNATAKA,Bengaluru Rural,LDBHT4998S,services,28/05/2016,,Active
U71905KA2013PTC348332,Shah Constructions,Public Ltd,Sanjay Shah,"No. 102, 5th Extension, Whitefield, Bengaluru - 560103",560103,KARNATAKA,Bengaluru Rural,OFOPM5729V,construction,03-06-2013,06-06-2026,Active
U65784KA2009PTC909921,Pillai Trading Co.,Partnership,Krishna Pillai,"No. 323, 5th Avenue, Peenya, Bengaluru - 560018",560018,KARNATAKA,Bengaluru Rural,MOMPL3143X,manufacturing,20-04-2009,10/11/2026,Active
U52072KA2018PTC846969,Rao Associates,Public Ltd,Deepa Rao,"No. 279, 5th Layout, Sarjapur Road, Bengaluru - 560060",560060,KARNATAKA,Bengaluru Urban,,services,10/03/2018,30/03/2025,Active
U32323KA2011PTC814361,Gowda Solutions,Partnership,Sunil Gowda,"No. 208, 5th Street, Electronic City, Bengaluru - 560041",560041,KARNATAKA,Bengaluru Rural,REDFH0342K,technology,06-02-2011,,Dormant under section 455
U75844KA2002PTC443609,Nair Engineers,Pvt Ltd,Lakshmi Nair,"No. 229, 1st Layout, Peenya, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Urban,LSCAD0555E,construction,10-11-2002,,Struck Off
U79349KA9-13PTC993050,Swamy Constructions,Llp,Ajay Swamy,"No. 373, 2nd Avenue, Whitefield, Bengaluru - 560068",560068,KARNATAKA,Bengaluru Urban,AKTTX6493M,manufacturing,2000-09-13,14-04-2025,Active
U50272KA2017PTC382323,Jain Corporation,Pvt Ltd,Neha Jain,"No. 396, 3rd Main Road, Mahadevapura, Bengaluru - 560073",560073,KARNATAKA,Bengaluru Rural,APSPH7422Y,manufacturing,04-02-2017,03/03/2026,Active
U49002KA2014PTC559654,Pandey Corporation,Partnership,Sohan Pandey,"No. 332, 1st Layout, Malleshwaram, Bengaluru - 560029",560029,KARNATAKA,Bengaluru Rural,DJTHH8378B,construction,08/12/2014,2020-02-01,Struck Off
U25608KA2008PTC473719,Verma Exports,Partnership,Sohan Verma,"No. 452, 4th Layout, Peenya, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Urban,YZDHH6732K,trading,19/10/2008,2026-08-07,Active
U47930KA5-29PTC988568,Reddy Pvt Ltd,Pvt Ltd,Neha Reddy,"No. 301, 2nd Avenue, BTM Layout, Bengaluru - 560002",560002,KARNATAKA,Bengaluru Rural,ZZXPH2884B,technology,2002-05-29,19/03/2025,Active
U13969KA2019PTC333041,Singh Traders,Partnership,Deepa Singh,"No. 38, 1st Cross, Varthur, Bengaluru - 560034",560034,KARNATAKA,Bengaluru Urban,PPPFA6742R,manufacturing,02/05/2019,09/06/2026,Active
U36350KA8-31PTC351286,Murthy & Sons,Partnership,Kavita Murthy,"No. 155, 3rd Layout, Marathahalli, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Urban,CCOAT7804Y,manufacturing,2013-08-31,11-11-2021,Struck Off
U77237KA8-01PTC597480,Menon Associates,Partnership,Vijay Menon,"No. 202, 3rd Road, ITPL Main Road, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,JWLHU9139G,construction,2013-08-01,07-06-2025,Active
U32818KA2017PTC603231,Singh Solutions,Pvt Ltd,Mohan Singh,"No. 182, 2nd Street, Bellandur, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Urban,LJLAP5598N,construction,18/07/2017,25-08-2024,Dormant under section 455
U51414KA2019PTC817510,Verma Works,Public Ltd,,"No. 357, 4th Cross, Hoodi, Bengaluru - 560058",560058,KARNATAKA,Bengaluru Urban,NIAPJ4919E,trading,15/02/2019,19-02-2026,Active
U96624KA4-15PTC323039,Swamy Brothers,Pvt Ltd,Neha Swamy,"No. 59, 3rd Street, Yelahanka, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Rural,EQLPX6153W,services,2005-04-15,07/07/2025,Active
U16553KA5-20PTC206458,Jain Technologies,Public Ltd,Rekha Jain,"No. 318, 1st Avenue, Yelahanka, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Rural,SNKCS3166U,manufacturing,2001-05-20,2025-10-09,Active
U48343KA3-31PTC392779,Nair & Co.,Public Ltd,Priya Nair,"No. 385, 2nd Cross, Sarjapur Road, Bengaluru - 560102",560102,KARNATAKA,Bengaluru Urban,NELTY7511Y,services,2006-03-31,02-03-2023,Dormant under section 455
U31310KA2014PTC721270,Shetty Corporation,Llp,Sunita Shetty,"No. 425, 2nd Avenue, Malleshwaram, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Rural,,construction,06-09-2014,06-04-2025,Active
U61911KA2004PTC243184,Shetty Engineers,Pvt Ltd,Lakshmi Shetty,"No. 391, 1st Road, Bellandur, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Urban,ZQSPZ5242I,services,09-03-2004,26/03/2025,Active
U44339KA5-29PTC458041,Shetty Engineers,Partnership,,"No. 228, 1st Road, Bellandur, Bengaluru - 560068",560068,KARNATAKA,Bengaluru Rural,RQBTJ7740D,construction,2006-05-29,,Active
U24701KA6-13PTC150566,Pandey Brothers,Pvt Ltd,Vinod Pandey,"No. 72, 2nd Cross, ITPL Main Road, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Urban,QLSTX1468C,construction,2002-06-13,2025-04-26,Active
U40664KA2014PTC973107,Kumar Engineers,Public Ltd,Ganesh Kumar,"No. 111, 1st Road, Marathahalli, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Rural,,services,28/08/2014,28-10-2026,Active
U87915KA2018PTC529495,Sharma & Co.,Partnership,Suresh Sharma,"No. 178, 1st Cross, Bommanahalli, Bengaluru - 560030",560030,KARNATAKA,Bengaluru Urban,CLJFS7723P,manufacturing,12-07-2018,27-07-2022,Under Liquidation
U46298KA0-22PTC871880,Mehta Agency,Pvt Ltd,Rohan Mehta,"No. 484, 2nd Main Road, Koramangala, Bengaluru - 560030",560030,KARNATAKA,Bengaluru Urban,CCDHC5061J,services,2001-10-22,2023-12-02,Dormant under section 455
U90618KA2021PTC859375,Menon Exports,Public Ltd,Lakshmi Menon,"No. 246, 1st Road, Bommanahalli, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Rural,,construction,27/09/2021,25/10/2022,Under Liquidation
U74261KA2006PTC444555,Menon Manufacturing,Public Ltd,Raghav Menon,"No. 392, 2nd Extension, Jayanagar, Bengaluru - 560102",560102,KARNATAKA,Bengaluru Rural,KEICA8709Q,technology,17-05-2006,,Dissolved
U24570KA1-03PTC983516,Gowda Enterprises,Partnership,Sunita Gowda,"No. 470, 2nd Avenue, Varthur, Bengaluru - 560076",560076,KARNATAKA,Bengaluru Urban,,trading,2016-01-03,29/06/2023,Dormant under section 455
U80623KA2-30PTC738795,Jain Traders,Partnership,Krishna Jain,"No. 14, 2nd Main Road, Indiranagar, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Rural,SSSFV2205P,trading,2019-12-30,,Active
U49221KA2001PTC654504,Kulkarni Constructions,Partnership,Krishna Kulkarni,"No. 244, 3rd Road, HSR Layout, Bengaluru - 560073",560073,KARNATAKA,Bengaluru Rural,FGBTV0684Y,services,30/11/2001,01/12/2026,Active
U70571KA1-28PTC115087,Sharma Traders,Pvt Ltd,Nagaraj Sharma,"No. 213, 2nd Main Road, Indiranagar, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Urban,FVDAI3780R,services,2018-01-28,29-11-2026,Active
U53087KA2002PTC950274,Shenoy Solutions,Partnership,,"No. 499, 4th Avenue, Rajajinagar, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Rural,KKWTH0423K,technology,11/12/2002,2024-02-18,Dormant under section 455
U78560KA3-24PTC510222,Kamath Mills,Llp,Ajay Kamath,"No. 349, 1st Main Road, Indiranagar, Bengaluru - 560085",560085,KARNATAKA,Bengaluru Rural,,manufacturing,2002-03-24,2021-03-14,Struck Off
U37514KA2014PTC653819,Patel Works,Llp,Arun Patel,"No. 445, 4th Extension, Indiranagar, Bengaluru - 560066",560066,KARNATAKA,Bengaluru Rural,YXRCL2848L,manufacturing,02-12-2014,,Struck Off
U85775KA2013PTC357699,Bhat & Sons,Pvt Ltd,Rajesh Bhat,"No. 103, 3rd Road, Bommanahalli, Bengaluru - 560003",560003,KARNATAKA,Bengaluru Rural,BLFCS7470T,manufacturing,16/01/2013,,Dormant under section 455
U85554KA2005PTC111908,Shetty Services,Llp,Suresh Shetty,"No. 87, 1st Cross, Peenya, Bengaluru - 560076",,KARNATAKA,Bengaluru Urban,IXZFP3199M,construction,17-07-2005,2026-12-20,Active
U85085KA9-09PTC760891,Naidu Solutions,Llp,Lakshmi Naidu,"No. 103, 3rd Avenue, Mahadevapura, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Urban,FRAHV1567N,technology,2006-09-09,18-03-2023,Dormant under section 455
U51369KA8-18PTC254986,Sharma Technologies,Partnership,Kavita Sharma,"No. 458, 4th Extension, Basavanagudi, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Rural,SXQHJ2088J,manufacturing,2002-08-18,28/08/2026,Active
U21721KA2022PTC758510,Patel Manufacturing,Partnership,Neha Patel,"No. 445, 5th Avenue, Varthur, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Urban,UREHY3068E,manufacturing,05/09/2022,2020-12-04,Dissolved
U70906KA2021PTC885385,Naidu Works,Pvt Ltd,,"No. 212, 1st Extension, JP Nagar, Bengaluru - 560009",560009,KARNATAKA,Bengaluru Urban,TIIFB5538C,construction,22-03-2021,,Dormant under section 455
U12618KA2014PTC882372,Gupta & Sons,Public Ltd,Pooja Gupta,"No. 413, 2nd Main Road, Yelahanka, Bengaluru - 560040",560040,KARNATAKA,Bengaluru Rural,UXRCX8166K,services,17-06-2014,27-12-2025,Active
U42587KA2010PTC999310,Pandey Technologies,Llp,Ramesh Pandey,"No. 103, 3rd Avenue, Jayanagar, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Urban,MORHV7828Z,technology,28-08-2010,13/12/2024,Dormant under section 455
U51307KA2002PTC466542,Prasad Services,Public Ltd,,"No. 350, 1st Main Road, Electronic City, Bengaluru - 560058",560058,KARNATAKA,Bengaluru Urban,,trading,13-04-2002,,Active
U53003KA9-07PTC966492,Pillai Services,Pvt Ltd,Pooja Pillai,"No. 151, 2nd Avenue, Basavanagudi, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Rural,MOJTK5957F,construction,2012-09-07,,Under Liquidation
U52957KA2018PTC163959,Nair & Co.,Llp,Priya Nair,"No. 425, 4th Street, Bommanahalli, Bengaluru - 560029",560029,KARNATAKA,Bengaluru Urban,ULBTG3009Y,construction,21/02/2018,03-02-2026,Active
U54990KA5-05PTC831025,Jain Agency,Public Ltd,Vijay Jain,"No. 16, 4th Main Road, Bellandur, Bengaluru - 560052",560052,KARNATAKA,Bengaluru Urban,DASPY7083Q,manufacturing,2006-05-05,10-08-2026,Active
U67654KA2-17PTC182696,Iyer Services,Pvt Ltd,Divya Iyer,"No. 410, 5th Avenue, Bellandur, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Urban,KOCCX7729Q,manufacturing,2003-02-17,07/04/2026,Active
U37392KA2003PTC470388,Pandey & Sons,Partnership,Sanjay Pandey,"No. 460, 1st Extension, Sarjapur Road, Bengaluru - 560076",560076,KARNATAKA,Bengaluru Rural,NUKHB0619U,services,17-06-2003,2025-08-05,Active
U52173KA2021PTC887769,Reddy Technologies,Llp,Kavita Reddy,"No. 263, 1st Extension, Sarjapur Road, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Urban,EJSPV2874P,services,22/02/2021,25-02-2026,Active
U97249KA2018PTC358275,Rao Enterprises,Public Ltd,,"No. 351, 4th Avenue, Peenya, Bengaluru - 560068",560068,KARNATAKA,Bengaluru Urban,DPTAV5169T,construction,14/11/2018,21/12/2022,Dissolved
U73877KA2012PTC695695,Jain Traders,Pvt Ltd,Raghav Jain,"No. 97, 1st Street, Marathahalli, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Urban,FUUHL5776D,technology,11-05-2012,,Active
U42256KA2012PTC511972,Murthy Solutions,Llp,Varun Murthy,"No. 403, 3rd Avenue, JP Nagar, Bengaluru - 560066",560066,KARNATAKA,Bengaluru Urban,OOEAR4957M,construction,06-11-2012,2020-04-27,Dissolved
U71805KA2008PTC609774,Sharma Pvt Ltd,Public Ltd,Mukesh Sharma,"No. 205, 3rd Street, Brookefield, Bengaluru - 560038",,KARNATAKA,Bengaluru Rural,,services,22/09/2008,10/01/2020,Struck Off
U59572KA1-19PTC529768,Menon Associates,Partnership,,"No. 460, 5th Avenue, Yelahanka, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Urban,ENOAJ3152R,trading,2012-11-19,2025-12-17,Active
U43408KA2012PTC368880,Prasad Corporation,Public Ltd,,"No. 55, 1st Road, Brookefield, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Rural,OEICS2969P,services,27/07/2012,,Active
U91717KA2005PTC830404,Pandey Engineers,Public Ltd,Priya Pandey,"No. 314, 3rd Main Road, Basavanagudi, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Rural,BUMAB5361D,services,18-11-2005,13-04-2023,Dormant under section 455
U93206KA2020PTC414167,Hegde Pvt Ltd,Public Ltd,Pooja Hegde,"No. 314, 5th Layout, Sarjapur Road, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Urban,FOQCY2357O,technology,13/03/2020,2025-01-24,Active
U34760KA2-15PTC801789,Singh Solutions,Pvt Ltd,Sohan Singh,"No. 44, 4th Cross, Whitefield, Bengaluru - 560079",,KARNATAKA,Bengaluru Urban,SRYTX0110P,technology,2019-12-15,28-12-2020,Struck Off
U28705KA2008PTC610243,Kulkarni Manufacturing,Pvt Ltd,Sunita Kulkarni,"No. 1, 5th Avenue, MG Road, Bengaluru - 560041",560041,KARNATAKA,Bengaluru Urban,PQQAN5633R,technology,16/06/2008,14/06/2022,Dissolved
U44510KA1-17PTC764545,Kulkarni Services,Partnership,Ganesh Kulkarni,"No. 149, 1st Street, Whitefield, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Rural,,manufacturing,2004-01-17,11/08/2025,Active
U87591KA2001PTC432386,Bhat Pvt Ltd,Partnership,Arun Bhat,"No. 425, 1st Road, JP Nagar, Bengaluru - 560037",560037,KARNATAKA,Bengaluru Urban,KUMFO6007E,trading,22-11-2001,2022-12-02,Struck Off
U64839KA2015PTC619356,Bhat Traders,Pvt Ltd,Sunita Bhat,"No. 46, 2nd Main Road, Brookefield, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Rural,GQFPV2163F,services,31/07/2015,22-01-2023,Dormant under section 455
U92142KA2022PTC825672,Murthy Industries,Public Ltd,Nagaraj Murthy,"No. 152, 3rd Extension, Yelahanka, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Rural,,services,26-04-2022,17/10/2025,Active
U90434KA2010PTC633879,Verma Agency,Public Ltd,Vinod Verma,"No. 406, 2nd Extension, Electronic City, Bengaluru - 560009",560009,KARNATAKA,Bengaluru Rural,CFNPX2316S,trading,18-10-2010,20-01-2026,Active
U41081KA8-23PTC971532,Pillai Services,Pvt Ltd,Neha Pillai,"No. 421, 3rd Extension, Brookefield, Bengaluru - 560002",560002,KARNATAKA,Bengaluru Urban,YGZHM0020E,manufacturing,2021-08-23,08-12-2026,Active
U26159KA2005PTC575542,Sharma & Sons,Partnership,Ramesh Sharma,"No. 22, 3rd Extension, Peenya, Bengaluru - 560041",560041,KARNATAKA,Bengaluru Urban,OXPFB7500Y,construction,05/12/2005,09-08-2026,Active
U83393KA0-04PTC225638,Menon Corporation,Partnership,Ganesh Menon,"No. 221, 3rd Street, Brookefield, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,BKCAN7115P,technology,2019-10-04,2021-04-23,Under Liquidation
U14602KA3-02PTC312960,Deshmukh Works,Partnership,Suresh Deshmukh,"No. 379, 5th Main Road, BTM Layout, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Urban,RESPD7261J,trading,2012-03-02,2025-01-09,Active
U76487KA2001PTC617385,Singh Pvt Ltd,Llp,Arun Singh,"No. 288, 1st Road, Yelahanka, Bengaluru - 560066",560066,KARNATAKA,Bengaluru Urban,KHWTL8086H,trading,27-04-2001,2021-04-06,Struck Off
U39156KA4-23PTC867870,Deshmukh Constructions,Public Ltd,Anita Deshmukh,"No. 71, 5th Extension, Sarjapur Road, Bengaluru - 560029",560029,KARNATAKA,Bengaluru Urban,IKDTM5686N,manufacturing,2005-04-23,30-05-2025,Active
U22359KA5-07PTC343844,Kumar Traders,Partnership,Rohan Kumar,"No. 314, 2nd Extension, KR Puram, Bengaluru - 560078",560078,KARNATAKA,Bengaluru Urban,AIZHJ4989I,construction,2007-05-07,,Active
U35297KA2019PTC637553,Reddy Traders,Pvt Ltd,Vijay Reddy,"No. 202, 5th Street, Malleshwaram, Bengaluru - 560100",560100,KARNATAKA,Bengaluru Urban,YYFTG7099T,services,19/09/2019,08/08/2021,Dissolved
U61891KA2022PTC239712,Shetty & Sons,Llp,Manoj Shetty,"No. 13, 2nd Layout, Yelahanka, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Urban,EHXTQ9460Q,technology,14-12-2022,14-02-2022,Struck Off
U95879KA2012PTC988544,Swamy Solutions,Public Ltd,Anita Swamy,"No. 319, 3rd Road, MG Road, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Rural,JTXAV8117B,services,22-06-2012,2025-08-01,Active
U95507KA8-11PTC473397,Swamy Agency,Public Ltd,Sanjay Swamy,"No. 394, 3rd Cross, Koramangala, Bengaluru - 560003",560003,KARNATAKA,Bengaluru Rural,EBJCB6829B,services,2002-08-11,07-10-2026,Active
U17418KA2012PTC841632,Shenoy Works,Partnership,Rekha Shenoy,"No. 363, 3rd Main Road, HSR Layout, Bengaluru - 560079",560079,KARNATAKA,Bengaluru Urban,ZMRTJ4825T,manufacturing,19/08/2012,12/11/2023,Dormant under section 455
U38192KA7-31PTC267311,Shetty Works,Partnership,Sunita Shetty,"No. 457, 5th Cross, Yelahanka, Bengaluru - 560085",560085,KARNATAKA,Bengaluru Rural,NIATK3760F,manufacturing,2012-07-31,20-01-2026,Active
U17798KA9-07PTC751568,Shenoy Corporation,Pvt Ltd,Sanjay Shenoy,"No. 111, 5th Cross, Rajajinagar, Bengaluru - 560058",560058,KARNATAKA,Bengaluru Urban,,technology,2014-09-07,11-04-2023,Dormant under section 455
U28900KA2015PTC887116,Reddy Solutions,Public Ltd,Nagaraj Reddy,"No. 160, 1st Extension, Hoodi, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Rural,,services,18-09-2015,25-05-2025,Active
