udyam_number,enterprise_name,applicant_name,premises_address,pin,state,district,mobile,email_address,nic_code,activity,established_date,last_activity_date,entity_status
UDYAM-KA-11-6515319,Mehta Industries,Manoj Mehta,"No. 461, 4th Cross, HSR Layout, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Urban,,,87606,services,16-05-2002,03-05-2026,Active
UDYAM-KA-22-9387963,Kumar & Co.,Anita Kumar,"No. 237, 5th Avenue, Marathahalli, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Rural,,anita.kumar@rediffmail.com,16890,technology,02-05-2021,,Active
UDYAM-KA-08-8024018,Bhat & Sons,Rajesh Bhat,"No. 103, 3rd Road, Bommanahalli, Bengaluru - 560003",560003,KARNATAKA,Bengaluru Rural,,,10925,manufacturing,16/01/2013,02-09-2024,Inactive
UDYAM-KA-19-3113996,Patil Pvt Ltd,Anita Patil,"No. 361, 2nd Extension, Bommanahalli, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Rural,9374403446,,34970,manufacturing,07/12/2000,25/09/2026,Active
UDYAM-KA-23-8037260,Rao Manufacturing,Pooja Rao,"No. 94, 5th Main Road, Indiranagar, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Urban,8037790798,pooja.rao@rediffmail.com,61396,technology,03/07/2004,11/02/2023,Inactive
UDYAM-KA-06-9406499,Shetty Enterprises,Sohan Shetty,"No. 282, 2nd Street, Bellandur, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,6708320986,sohan.shetty@gmail.com,68485,construction,2010-08-03,2026-05-28,Active
UDYAM-KA-19-3134516,Pandey & Sons,Anita Pandey,"No. 219, 5th Main Road, Varthur, Bengaluru - 560055",560055,KARNATAKA,Bengaluru Urban,6169339200,anita.pandey@outlook.com,30329,technology,2002-01-20,2021-05-26,Inactive
UDYAM-KA-28-5673178,Agarwal Mills,Divya Agarwal,"No. 294, 4th Street, Varthur, Bengaluru - 560038",560038,Karnataka,Bengaluru Urban,6290817892,,83196,services,29/07/2017,2020-11-22,Inactive
UDYAM-KA-24-6865418,Rao Manufacturing,Arun Rao,"No. 477, 4th Main Road, Indiranagar, Bengaluru - 560025",560025,Karnataka,Bengaluru Rural,8714985746,,32628,construction,06-03-2002,16-09-2022,Inactive
UDYAM-KA-03-3905583,Rao & Sons,Rohan Rao,"No. 428, 3rd Main Road, Sarjapur Road, Bengaluru - 560060",560060,KARNATAKA,Bengaluru Rural,7229661713,,85637,trading,2010-04-10,,Inactive
UDYAM-KA-09-2536353,Pai Traders,Priya Pai,"No. 475, 4th Avenue, Jayanagar, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Rural,9976815511,priya.pai@yahoo.co.in,20436,trading,07-02-2013,03/06/2026,Active
UDYAM-KA-23-5739428,Kumar Traders,Rohan Kumar,"No. 314, 2nd Extension, KR Puram, Bengaluru - 560078",560078,KARNATAKA,Bengaluru Urban,8636456738,,65682,construction,2007-05-07,2026-02-23,Active
UDYAM-KA-20-1165011,Gowda Exports,Ajay Gowda,"No. 21, 3rd Layout, Brookefield, Bengaluru - 560100",560100,KARNATAKA,Bengaluru Rural,,,60907,services,04/06/2009,20-10-2026,Active
UDYAM-KA-08-3580998,Tiwari Industries,Mahesh Tiwari,"No. 82, 2nd Road, Hoodi, Bengaluru - 560002",560002,Karnataka,Bengaluru Urban,6947987281,mahesh.tiwari@outlook.com,29231,construction,11-10-2002,08-02-2025,Active
UDYAM-KA-15-7832647,Jain Traders,Krishna Jain,"No. 14, 2nd Main Road, Indiranagar, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Rural,9417482633,krishna.jain@outlook.com,99134,trading,2019-12-30,22/04/2026,Active
UDYAM-KA-13-5011988,Shenoy Corporation,Sanjay Shenoy,"No. 111, 5th Cross, Rajajinagar, Bengaluru - 560058",560058,Karnataka,Bengaluru Urban,9302057913,,81470,technology,2014-09-07,,Inactive
UDYAM-KA-13-0579707,Singh Solutions,Sohan Singh,"No. 44, 4th Cross, Whitefield, Bengaluru - 560079",560079,KARNATAKA,Bengaluru Urban,8741510398,sohan.singh@outlook.com,27745,technology,2019-12-15,28-12-2020,Inactive
UDYAM-KA-24-0630716,Patel Traders,Deepa Patel,"No. 237, 5th Avenue, Koramangala, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Rural,8660660866,,73376,trading,29/09/2013,,Inactive
UDYAM-KA-14-3253633,Jain Services,Ajay Jain,"No. 142, 5th Extension, Mahadevapura, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Rural,6102118525,,31538,services,23/02/2018,14-08-2025,Active
UDYAM-KA-05-6228546,Patel Works,Divya Patel,"No. 237, 2nd Cross, Hebbal, Bengaluru - 560047",560047,Karnataka,Bengaluru Rural,8547150345,divya.patel@yahoo.co.in,11962,technology,18/02/2007,,Active
UDYAM-KA-14-1770235,Verma Agency,Vinod Verma,"No. 406, 2nd Extension, Electronic City, Bengaluru - 560009",560009,Karnataka,Bengaluru Rural,7655995984,vinod.verma@outlook.com,91967,trading,18-10-2010,20-01-2026,Active
UDYAM-KA-27-8209881,Kulkarni Manufacturing,Mahesh Kulkarni,"No. 112, 4th Layout, Basavanagudi, Bengaluru - 560097",560097,KARNATAKA,Bengaluru Urban,7065933118,mahesh.kulkarni@outlook.com,19389,manufacturing,2000-12-15,2023-09-07,Inactive
UDYAM-KA-08-2526085,Sharma & Co.,Suresh Sharma,"No. 178, 1st Cross, Bommanahalli, Bengaluru - 560030",560030,KARNATAKA,Bengaluru Urban,6871524097,,76322,manufacturing,12-07-2018,27-07-2022,Inactive
UDYAM-KA-08-5052479,Naidu Trading Co.,Mohan Naidu,"No. 407, 5th Layout, Sarjapur Road, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Urban,9845657203,mohan.naidu@outlook.com,79825,services,2016-03-05,05-11-2022,Inactive
UDYAM-KA-20-1298336,Pillai Exports,Rohan Pillai,"No. 88, 2nd Road, Indiranagar, Bengaluru - 560071",560071,KARNATAKA,Bengaluru Urban,7018927628,,89422,manufacturing,22/07/2016,24-12-2026,Active
UDYAM-KA-01-4732780,Shenoy Brothers,Pooja Shenoy,"No. 387, 2nd Main Road, Basavanagudi, Bengaluru - 560058",560058,KARNATAKA,Bengaluru Rural,9159757536,pooja.shenoy@yahoo.co.in,65403,manufacturing,24/02/2018,,Active
UDYAM-KA-03-5423781,Bhat Traders,Deepa Bhat,"No. 266, 4th Avenue, HSR Layout, Bengaluru - 560017",560017,Karnataka,Bengaluru Urban,6496336655,deepa.bhat@rediffmail.com,22233,trading,29-07-2016,,Inactive
UDYAM-KA-23-9194798,Menon Agency,Anita Menon,"No. 431, 2nd Main Road, Marathahalli, Bengaluru - 560062",560062,KARNATAKA,Bengaluru Urban,9117160241,anita.menon@gmail.com,94987,technology,30-10-2019,13-10-2026,Active
UDYAM-KA-04-9137579,Jain Solutions,Venkatesh Jain,"No. 1, 2nd Road, Whitefield, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,6332966794,,12104,services,22/08/2012,2025-12-08,Active
UDYAM-KA-06-7556962,Verma & Sons,Suresh Verma,"No. 415, 3rd Layout, Electronic City, Bengaluru - 560010",560010,KARNATAKA,Bengaluru Urban,7223130672,,34936,services,21/12/2002,06-08-2025,Active
UDYAM-KA-17-5103391,Patil Engineers,Ajay Patil,"No. 71, 5th Layout, HSR Layout, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Urban,9811653542,ajay.patil@gmail.com,30449,manufacturing,20-12-2011,28/10/2025,Active
UDYAM-KA-15-8455981,Jain Pvt Ltd,Rajesh Jain,"No. 140, 5th Cross, Hebbal, Bengaluru - 560004",560004,Karnataka,Bengaluru Rural,7828215006,rajesh.jain@yahoo.co.in,28231,technology,2019-05-18,,Active
UDYAM-KA-27-6913102,Singh Industries,Ramesh Singh,"No. 244, 2nd Layout, Whitefield, Bengaluru - 560055",560055,KARNATAKA,Bengaluru Urban,7645785696,,79968,construction,22-06-2006,30/12/2026,Active
UDYAM-KA-26-0596569,Shetty Works,Sunita Shetty,"No. 457, 5th Cross, Yelahanka, Bengaluru - 560085",560085,Karnataka,Bengaluru Rural,6905565053,sunita.shetty@rediffmail.com,35814,manufacturing,2012-07-31,20-01-2026,Active
UDYAM-KA-19-8113964,Menon Associates,Sunil Menon,"No. 460, 5th Avenue, Yelahanka, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Urban,6106962395,sunil.menon@gmail.com,83713,trading,2012-11-19,2025-12-17,Active
UDYAM-KA-28-4546938,Iyer Brothers,Rohan Iyer,"No. 192, 4th Layout, Koramangala, Bengaluru - 560052",560052,KARNATAKA,Bengaluru Urban,8280960434,,66738,services,03/06/2022,06-12-2025,Active
UDYAM-KA-07-2420582,Rao Pvt Ltd,Varun Rao,"No. 210, 3rd Avenue, Yelahanka, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,6561542271,varun.rao@outlook.com,10976,trading,11-12-2000,12-03-2020,Inactive
UDYAM-KA-22-7457127,Reddy Brothers,Anita Reddy,"No. 235, 3rd Road, Hoodi, Bengaluru - 560060",560060,Karnataka,Bengaluru Urban,7582955116,,79160,construction,26-06-2012,2026-02-08,Active
UDYAM-KA-19-0510472,Bhat Traders,Sunil Bhat,"No. 243, 5th Avenue, Electronic City, Bengaluru - 560064",560064,Karnataka,Bengaluru Urban,9367718081,,63430,manufacturing,16-05-2004,18-07-2025,Active
UDYAM-KA-11-7543349,Tiwari Enterprises,Sohan Tiwari,"No. 233, 3rd Street, Indiranagar, Bengaluru - 560070",560070,KARNATAKA,Bengaluru Rural,6891208592,,76508,construction,2018-04-25,08/02/2025,Active
UDYAM-KA-25-6014195,Nair Engineers,Lakshmi Nair,"No. 229, 1st Layout, Peenya, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Urban,6404873875,,70541,construction,10-11-2002,21/05/2020,Inactive
UDYAM-KA-01-0877501,Menon Brothers,Sunita Menon,"No. 97, 4th Road, Hebbal, Bengaluru - 560034",560034,KARNATAKA,Bengaluru Rural,9998978056,sunita.menon@rediffmail.com,77976,technology,06-09-2017,,Active
UDYAM-KA-04-5119032,Deshmukh Works,Suresh Deshmukh,"No. 379, 5th Main Road, BTM Layout, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Urban,7569663952,,51209,trading,2012-03-02,,Active
UDYAM-KA-25-1224600,Kumar Engineers,Ganesh Kumar,"No. 111, 1st Road, Marathahalli, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Rural,7654705623,ganesh.kumar@yahoo.co.in,85726,services,28/08/2014,28-10-2026,Active
UDYAM-KA-10-0082851,Mishra & Sons,Pramod Mishra,"No. 104, 4th Main Road, Peenya, Bengaluru - 560079",560079,KARNATAKA,Bengaluru Urban,7469514110,pramod.mishra@outlook.com,78536,services,13/04/2001,,Inactive
UDYAM-KA-25-3915487,Pillai Trading Co.,Krishna Pillai,"No. 323, 5th Avenue, Peenya, Bengaluru - 560018",560018,KARNATAKA,Bengaluru Rural,8825714442,krishna.pillai@outlook.com,67120,manufacturing,20-04-2009,10/11/2026,Active
UDYAM-KA-14-3254543,Kulkarni Exports,Vinod Kulkarni,"No. 459, 4th Street, Koramangala, Bengaluru - 560025",,KARNATAKA,Bengaluru Rural,8066356136,,37624,services,2016-04-25,02/09/2026,Active
UDYAM-KA-02-2908473,Pillai Mills,Suresh Pillai,"No. 367, 5th Layout, BTM Layout, Bengaluru - 560071",,KARNATAKA,Bengaluru Urban,6580863193,suresh.pillai@gmail.com,78328,construction,07/02/2016,,Active
UDYAM-KA-20-4663681,Nair & Co.,Priya Nair,"No. 425, 4th Street, Bommanahalli, Bengaluru - 560029",560029,Karnataka,Bengaluru Urban,8070012089,,65753,construction,21/02/2018,,Active
UDYAM-KA-20-7979754,Naidu Constructions,Divya Naidu,"No. 209, 1st Cross, Bommanahalli, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Urban,7971720929,divya.naidu@gmail.com,72238,services,01-10-2013,2024-05-16,Inactive
UDYAM-KA-13-1347468,Shah Constructions,Vijay Shah,"No. 368, 4th Avenue, Sarjapur Road, Bengaluru - 560043",560043,Karnataka,Bengaluru Urban,9262209771,,59724,trading,23/01/2002,28/10/2023,Inactive
UDYAM-KA-01-5013437,Gowda Corporation,Sohan Gowda,"No. 13, 3rd Road, Peenya, Bengaluru - 560029",560029,Karnataka,Bengaluru Urban,8829339614,sohan.gowda@rediffmail.com,58869,services,2004-10-23,2020-04-12,Inactive
UDYAM-KA-10-8546976,Shenoy Constructions,Raghav Shenoy,"No. 43, 5th Street, JP Nagar, Bengaluru - 560030",560030,Karnataka,Bengaluru Rural,8720905990,raghav.shenoy@rediffmail.com,38686,trading,21/03/2013,19/07/2026,Active
