gstin,pan_number,business_name,proprietor,registered_address,pin_code,state,district_name,constitution,business_activity,contact_number,email_id,date_of_registration,last_return_date,registration_status
29YCZCS9214XRZW,YCZCS9214X,Prasad Manufacturing,Mahesh Prasad,"No. 1, 5th Avenue, Banashankari, Bengaluru - 560098",560098,Karnataka,Bengaluru Urban,pvt_ltd,construction,,,2005-09-16,24-01-2026,Registered
29TEOHR8327TTZS,TEOHR8327T,Nair Mills,Krishna Nair,"No. 338, 1st Cross, Electronic City, Bengaluru - 560102",560102,Karnataka,Bengaluru Rural,llp,construction,,krishna.nair@gmail.com,20-09-2008,21/05/2024,Inactive
29GRAPY4195B7ZT,GRAPY4195B,Kamath Mills,Neha Kamath,"No. 314, 5th Layout, Yelahanka, Bengaluru - 560103",560103,Karnataka,Bengaluru Rural,partnership,trading,,,09/03/2012,2026-07-08,ACTIVE
29DGSTG0454GOZ1,DGSTG0454G,Pandey Works,Rajesh Pandey,"No. 386, 4th Avenue, Rajajinagar, Bengaluru - 560047",560047,Karnataka,Bengaluru Rural,public_ltd,construction,+918424367789,rajesh.pandey@gmail.com,2001-03-20,19/05/2025,Live
29EGIHK3829N5ZU,EGIHK3829N,Gowda Brothers,Kiran Gowda,"No. 400, 1st Avenue, Koramangala, Bengaluru - 560092",560092,Karnataka,Bengaluru Urban,public_ltd,technology,+918101165267,,2005-02-19,09-08-2020,Cancelled
,AIRHM9158H,Reddy Brothers,,"No. 190, 1st Extension, Bellandur, Bengaluru - 560055",560055,Karnataka,Bengaluru Rural,public_ltd,technology,,raghav.reddy@rediffmail.com,08/09/2021,30/08/2026,active
29IGYFO2463AKZB,IGYFO2463A,Verma Manufacturing,Pooja Verma,"No. 360, 3rd Extension, Mahadevapura, Bengaluru - 560038",560038,Karnataka,Bengaluru Urban,partnership,construction,,pooja.verma@yahoo.co.in,25-09-2013,30-04-2026,Active
29NLTFL7221GYZB,NLTFL7221G,Bhat Manufacturing,,"No. 52, 2nd Cross, Rajajinagar, Bengaluru - 560078",560078,Karnataka,Bengaluru Urban,proprietorship,manufacturing,,nagaraj.bhat@outlook.com,02/10/2012,2025-12-15,Registered
29ZGWPC4060EJZ5,ZGWPC4060E,Kulkarni Traders,,"No. 231, 4th Cross, JP Nagar, Bengaluru - 560068",560068,Karnataka,Bengaluru Rural,proprietorship,services,+917509076202,,29/04/2018,26/04/2024,Default in Filing
29AHHHC6976VCZR,AHHHC6976V,Pillai Technologies,,"No. 31, 2nd Avenue, Koramangala, Bengaluru - 560017",560017,Karnataka,Bengaluru Rural,pvt_ltd,technology,,,2001-02-27,22-11-2026,active
29PATFS0746IRZV,,Kulkarni Associates,Neha Kulkarni,"No. 440, 2nd Cross, Indiranagar, Bengaluru - 560094",560094,Karnataka,Bengaluru Rural,llp,technology,+916298543394,neha.kulkarni@gmail.com,2018-07-15,06-01-2026,Active
,TQTCI5946D,Murthy Exports,Rajesh Murthy,"No. 48, 2nd Avenue, Banashankari, Bengaluru - 560071",,Karnataka,Bengaluru Urban,partnership,technology,+916961927444,rajesh.murthy@outlook.com,2017-03-16,06-11-2022,Cancelled
29WWHHK9582JVZ9,WWHHK9582J,Bhat Brothers,Pooja Bhat,"No. 279, 4th Layout, Brookefield, Bengaluru - 560071",,Karnataka,Bengaluru Rural,proprietorship,construction,+918923843493,,30-08-2005,2021-11-10,Cancelled
29WLNHA7461PGZL,WLNHA7461P,Shah Constructions,Vijay Shah,"No. 368, 4th Avenue, Sarjapur Road, Bengaluru - 560043",560043,Karnataka,Bengaluru Urban,proprietorship,trading,+919262209771,vijay.shah@yahoo.co.in,23/01/2002,28/10/2023,Suspended
29JDNAV7108TVZ9,JDNAV7108T,Iyer Agency,Sohan Iyer,"No. 461, 4th Cross, MG Road, Bengaluru - 560094",560094,Karnataka,Bengaluru Urban,partnership,manufacturing,+919435642813,sohan.iyer@outlook.com,08-02-2017,30-10-2025,active
29HZRFA5670TIZE,HZRFA5670T,Prasad Traders,Sohan Prasad,"No. 370, 2nd Street, Brookefield, Bengaluru - 560095",560095,Karnataka,Bengaluru Urban,public_ltd,technology,+919345702711,sohan.prasad@rediffmail.com,2012-03-23,09/05/2026,Registered
29TICPE7266MZZN,TICPE7266M,Tiwari Enterprises,Sohan Tiwari,"No. 233, 3rd Street, Indiranagar, Bengaluru - 560070",560070,Karnataka,Bengaluru Rural,pvt_ltd,construction,,,2018-04-25,08/02/2025,Live
29ZDGAE3396R9ZQ,,Kulkarni Manufacturing,Mahesh Kulkarni,"No. 112, 4th Layout, Basavanagudi, Bengaluru - 560097",560097,Karnataka,Bengaluru Urban,partnership,manufacturing,+917065933118,,2000-12-15,2023-09-07,Suspended
29UFVAG5827Z0ZH,UFVAG5827Z,Iyer Pvt Ltd,Divya Iyer,"No. 68, 1st Cross, MG Road, Bengaluru - 560094",560094,Karnataka,Bengaluru Urban,partnership,technology,+917021410435,,11-12-2001,05-11-2024,Default in Filing
29HQAHM4174C9Z4,HQAHM4174C,Mehta & Sons,,"No. 259, 5th Layout, Yelahanka, Bengaluru - 560040",560040,Karnataka,Bengaluru Urban,pvt_ltd,manufacturing,,,22/02/2019,2024-01-19,Dormant
29RMCPC4731BZZZ,RMCPC4731B,Naidu & Co.,Ritu Naidu,"No. 217, 1st Cross, Brookefield, Bengaluru - 560094",560094,Karnataka,Bengaluru Rural,public_ltd,construction,+917151483512,ritu.naidu@yahoo.co.in,06-03-2001,2021-07-01,Deregistered
29ESIFL0854E1Z5,ESIFL0854E,Kulkarni Agency,Pooja Kulkarni,"No. 160, 3rd Avenue, Basavanagudi, Bengaluru - 560018",560018,Karnataka,Bengaluru Urban,llp,trading,+919170044642,,21/12/2004,30/08/2024,Inactive
29NIFAB0321I7Z0,NIFAB0321I,Patil Pvt Ltd,,"No. 361, 2nd Extension, Bommanahalli, Bengaluru - 560050",560050,Karnataka,Bengaluru Rural,llp,manufacturing,+919374403446,anita.patil@rediffmail.com,07/12/2000,25/09/2026,ACTIVE
29VXCPH4408XLZA,VXCPH4408X,Naidu Mills,Venkatesh Naidu,"No. 179, 3rd Street, Brookefield, Bengaluru - 560025",560025,Karnataka,Bengaluru Urban,public_ltd,technology,,,01-07-2014,2026-03-27,Live
29MQUAB3040L4Z5,MQUAB3040L,Kamath Engineers,Mahesh Kamath,"No. 293, 2nd Cross, ITPL Main Road, Bengaluru - 560058",560058,Karnataka,Bengaluru Rural,public_ltd,technology,+918948890607,mahesh.kamath@outlook.com,13/02/2007,17/10/2025,Registered
,KIPTU3353I,Hegde Brothers,Seema Hegde,"No. 340, 4th Main Road, Varthur, Bengaluru - 560092",560092,Karnataka,Bengaluru Urban,pvt_ltd,technology,,seema.hegde@outlook.com,25/10/2000,08/08/2025,Registered
29YMFCE0817X2ZL,YMFCE0817X,Pandey Technologies,Kavita Pandey,"No. 395, 5th Avenue, Varthur, Bengaluru - 560022",560022,Karnataka,Bengaluru Urban,pvt_ltd,services,,,06/10/2019,27-01-2024,Dormant
29NZVAE8043DXZ7,NZVAE8043D,Murthy Manufacturing,Pramod Murthy,"No. 426, 4th Road, Whitefield, Bengaluru - 560066",560066,Karnataka,Bengaluru Urban,partnership,trading,+916894333023,pramod.murthy@gmail.com,2006-03-04,29-04-2026,Registered
29VTMAA9021XRZ7,VTMAA9021X,Naidu Trading Co.,Mohan Naidu,"No. 407, 5th Layout, Sarjapur Road, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,proprietorship,services,+919845657203,mohan.naidu@outlook.com,2016-03-05,05-11-2022,Deregistered
29OKMTM9207L6ZL,OKMTM9207L,Verma Constructions,Pooja Verma,"No. 426, 4th Street, Electronic City, Bengaluru - 560092",560092,Karnataka,Bengaluru Rural,llp,technology,+918807420109,pooja.verma@outlook.com,2011-05-13,15/07/2023,Default in Filing
29JUWFI1387MBZV,JUWFI1387M,Gupta Industries,Vinod Gupta,"No. 309, 2nd Extension, Banashankari, Bengaluru - 560008",560008,Karnataka,Bengaluru Rural,llp,technology,+917132471447,vinod.gupta@rediffmail.com,25-04-2012,2020-04-27,Dissolved
,RKNTV1086O,Mishra Brothers,Vijay Mishra,"No. 310, 2nd Street, Jayanagar, Bengaluru - 560073",560073,Karnataka,Bengaluru Rural,llp,technology,,vijay.mishra@outlook.com,13/04/2005,21/12/2024,Inactive
29FPSHG1848OKZM,FPSHG1848O,Jain Exports,Kavita Jain,"No. 475, 2nd Avenue, Varthur, Bengaluru - 560098",560098,Karnataka,Bengaluru Rural,pvt_ltd,manufacturing,+918121705385,kavita.jain@gmail.com,10-11-2017,22/06/2024,Default in Filing
29TVBFU0451YBZ8,TVBFU0451Y,Gowda Solutions,,"No. 85, 2nd Cross, Rajajinagar, Bengaluru - 560017",560017,Karnataka,Bengaluru Urban,partnership,technology,+917952019266,,2006-12-01,11/09/2024,Dormant
29VOVPC0656Y1ZV,VOVPC0656Y,Agarwal Works,Mohan Agarwal,"No. 153, 4th Road, JP Nagar, Bengaluru - 560095",560095,Karnataka,Bengaluru Urban,public_ltd,trading,+918442637789,,05/10/2004,06/05/2025,active
29LDBHT4998SCZA,LDBHT4998S,Pai Agency,Lakshmi Pai,"No. 12, 1st Layout, Hebbal, Bengaluru - 560041",560041,Karnataka,Bengaluru Rural,pvt_ltd,services,,,28/05/2016,2026-02-15,Registered
,OFOPM5729V,Shah Constructions,Sanjay Shah,"No. 102, 5th Extension, Whitefield, Bengaluru - 560103",560103,Karnataka,Bengaluru Rural,public_ltd,construction,+919013446536,sanjay.shah@yahoo.co.in,03-06-2013,06-06-2026,Registered
29MOMPL3143X1ZU,MOMPL3143X,Pillai Trading Co.,Krishna Pillai,"No. 323, 5th Avenue, Peenya, Bengaluru - 560018",560018,Karnataka,Bengaluru Rural,partnership,manufacturing,+918825714442,krishna.pillai@outlook.com,20-04-2009,10/11/2026,active
29NIEAK5686ZUZC,NIEAK5686Z,Agarwal Corporation,Seema Agarwal,"No. 107, 4th Cross, Varthur, Bengaluru - 560040",560040,Karnataka,Bengaluru Rural,proprietorship,trading,,,25-11-2012,29-03-2026,active
29GMFAI9616S3ZX,GMFAI9616S,Pillai Trading Co.,,"No. 368, 4th Road, Malleshwaram, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,proprietorship,manufacturing,+919991684672,,01-06-2010,2023-02-08,Suspended
29KVYPM7178J0ZJ,KVYPM7178J,Rao Associates,Deepa Rao,"No. 279, 5th Layout, Sarjapur Road, Bengaluru - 560060",560060,Karnataka,Bengaluru Urban,public_ltd,services,,,10/03/2018,30/03/2025,active
,REDFH0342K,Gowda Solutions,Sunil Gowda,"No. 208, 5th Street, Electronic City, Bengaluru - 560041",560041,Karnataka,Bengaluru Rural,partnership,technology,+919693294493,,06-02-2011,25-03-2023,Default in Filing
29LSCAD0555EXZS,,Nair Engineers,Lakshmi Nair,"No. 229, 1st Layout, Peenya, Bengaluru - 560008",560008,Karnataka,Bengaluru Urban,pvt_ltd,construction,+916404873875,lakshmi.nair@gmail.com,10-11-2002,21/05/2020,Closed
29AKTTX6493MYZ8,,Swamy Constructions,Ajay Swamy,"No. 373, 2nd Avenue, Whitefield, Bengaluru - 560068",560068,Karnataka,Bengaluru Urban,llp,manufacturing,+919947432411,,2000-09-13,14-04-2025,Active
,APSPH7422Y,Jain Corporation,,"No. 396, 3rd Main Road, Mahadevapura, Bengaluru - 560073",560073,Karnataka,Bengaluru Rural,pvt_ltd,manufacturing,,neha.jain@outlook.com,04-02-2017,03/03/2026,ACTIVE
29DJTHH8378BQZZ,DJTHH8378B,Pandey Corporation,Sohan Pandey,"No. 332, 1st Layout, Malleshwaram, Bengaluru - 560029",560029,Karnataka,Bengaluru Rural,partnership,construction,+919580360085,sohan.pandey@yahoo.co.in,08/12/2014,2020-02-01,Struck Off
29YZDHH6732KOZT,YZDHH6732K,Verma Exports,Sohan Verma,"No. 452, 4th Layout, Peenya, Bengaluru - 560048",560048,Karnataka,Bengaluru Urban,partnership,trading,+916732308705,sohan.verma@outlook.com,19/10/2008,2026-08-07,Registered
,MRRFY8964F,Shenoy Pvt Ltd,Raghav Shenoy,"No. 269, 1st Avenue, Jayanagar, Bengaluru - 560092",560092,Karnataka,Bengaluru Urban,proprietorship,construction,+919748270536,raghav.shenoy@outlook.com,18-04-2000,2025-01-13,active
29NHZPQ8689DXZ9,NHZPQ8689D,Iyer Brothers,,"No. 192, 4th Layout, Koramangala, Bengaluru - 560052",560052,Karnataka,Bengaluru Urban,proprietorship,services,,rohan.iyer@gmail.com,03/06/2022,06-12-2025,Live
29ZZXPH2884BHZY,ZZXPH2884B,Reddy Pvt Ltd,Neha Reddy,"No. 301, 2nd Avenue, BTM Layout, Bengaluru - 560002",560002,Karnataka,Bengaluru Rural,pvt_ltd,technology,,neha.reddy@gmail.com,2002-05-29,19/03/2025,Registered
29PPPFA6742RRZB,PPPFA6742R,Singh Traders,,"No. 38, 1st Cross, Varthur, Bengaluru - 560034",560034,Karnataka,Bengaluru Urban,partnership,manufacturing,,,02/05/2019,09/06/2026,ACTIVE
,CCOAT7804Y,Murthy & Sons,,"No. 155, 3rd Layout, Marathahalli, Bengaluru - 560011",560011,Karnataka,Bengaluru Urban,partnership,manufacturing,+919122739746,,2013-08-31,11-11-2021,Cancelled
29JWLHU9139GBZP,JWLHU9139G,Menon Associates,Vijay Menon,"No. 202, 3rd Road, ITPL Main Road, Bengaluru - 560038",560038,Karnataka,Bengaluru Urban,partnership,construction,,vijay.menon@outlook.com,2013-08-01,07-06-2025,Registered
29LJLAP5598NNZY,,Singh Solutions,Mohan Singh,"No. 182, 2nd Street, Bellandur, Bengaluru - 560094",560094,Karnataka,Bengaluru Urban,pvt_ltd,construction,+916937102756,,18/07/2017,25-08-2024,Suspended
,NIAPJ4919E,Verma Works,Priya Verma,"No. 357, 4th Cross, Hoodi, Bengaluru - 560058",560058,Karnataka,Bengaluru Urban,public_ltd,trading,,priya.verma@yahoo.co.in,15/02/2019,19-02-2026,Live
29EQLPX6153WHZ4,EQLPX6153W,Swamy Brothers,,"No. 59, 3rd Street, Yelahanka, Bengaluru - 560025",560025,Karnataka,Bengaluru Rural,pvt_ltd,services,+917565386872,neha.swamy@gmail.com,2005-04-15,07/07/2025,ACTIVE
,SNKCS3166U,Jain Technologies,,"No. 318, 1st Avenue, Yelahanka, Bengaluru - 560043",560043,Karnataka,Bengaluru Rural,public_ltd,manufacturing,+919413564474,rekha.jain@yahoo.co.in,2001-05-20,2025-10-09,active
29NELTY7511YNZY,NELTY7511Y,Nair & Co.,Priya Nair,"No. 385, 2nd Cross, Sarjapur Road, Bengaluru - 560102",560102,Karnataka,Bengaluru Urban,public_ltd,services,+916280818276,priya.nair@outlook.com,2006-03-31,02-03-2023,Dormant
29JHOFW2595V8ZQ,JHOFW2595V,Shetty Corporation,Sunita Shetty,"No. 425, 2nd Avenue, Malleshwaram, Bengaluru - 560098",560098,Karnataka,Bengaluru Rural,llp,construction,,,06-09-2014,06-04-2025,Registered
29ZQSPZ5242IIZL,ZQSPZ5242I,Shetty Engineers,,"No. 391, 1st Road, Bellandur, Bengaluru - 560045",560045,Karnataka,Bengaluru Urban,pvt_ltd,services,+916091494998,lakshmi.shetty@rediffmail.com,09-03-2004,26/03/2025,Registered
,RQBTJ7740D,Shetty Engineers,Kiran Shetty,"No. 228, 1st Road, Bellandur, Bengaluru - 560068",560068,Karnataka,Bengaluru Rural,partnership,construction,+919941037138,,2006-05-29,09-01-2025,Active
29QLSTX1468C8Z7,QLSTX1468C,Pandey Brothers,Vinod Pandey,"No. 72, 2nd Cross, ITPL Main Road, Bengaluru - 560043",560043,Karnataka,Bengaluru Urban,pvt_ltd,construction,+918566768635,vinod.pandey@yahoo.co.in,2002-06-13,2025-04-26,Live
29MPNPL9185LBZU,MPNPL9185L,Kumar Engineers,Ganesh Kumar,"No. 111, 1st Road, Marathahalli, Bengaluru - 560001",560001,Karnataka,Bengaluru Rural,public_ltd,services,,,28/08/2014,28-10-2026,Active
29QILCB2916BBZ7,QILCB2916B,Shetty Enterprises,,"No. 268, 5th Avenue, Basavanagudi, Bengaluru - 560064",560064,Karnataka,Bengaluru Rural,proprietorship,technology,+918378718345,kavita.shetty@rediffmail.com,03/04/2022,26/02/2025,active
29WEEPS6170AUZN,,Hegde Pvt Ltd,Mahesh Hegde,"No. 468, 4th Main Road, ITPL Main Road, Bengaluru - 560071",560071,Karnataka,Bengaluru Rural,proprietorship,construction,,mahesh.hegde@gmail.com,11/11/2020,15/11/2023,Default in Filing
29CLJFS7723PCZY,CLJFS7723P,Sharma & Co.,Suresh Sharma,"No. 178, 1st Cross, Bommanahalli, Bengaluru - 560030",560030,Karnataka,Bengaluru Urban,partnership,manufacturing,+916871524097,,12-07-2018,27-07-2022,Closed
29CCDHC5061JKZP,CCDHC5061J,Mehta Agency,,"No. 484, 2nd Main Road, Koramangala, Bengaluru - 560030",560030,Karnataka,Bengaluru Urban,pvt_ltd,services,+918143137448,rohan.mehta@gmail.com,2001-10-22,2023-12-02,Suspended
29CGJAB6290MZZZ,CGJAB6290M,Kamath Solutions,Anita Kamath,"No. 32, 2nd Main Road, MG Road, Bengaluru - 560010",560010,Karnataka,Bengaluru Urban,proprietorship,services,+916366528009,anita.kamath@outlook.com,2014-11-15,2026-04-18,Registered
29EOVHP0612FSZ9,EOVHP0612F,Menon Exports,Lakshmi Menon,"No. 246, 1st Road, Bommanahalli, Bengaluru - 560053",560053,Karnataka,Bengaluru Rural,public_ltd,construction,+916118568797,lakshmi.menon@rediffmail.com,27/09/2021,25/10/2022,Deregistered
29KEICA8709QEZA,KEICA8709Q,Menon Manufacturing,Raghav Menon,"No. 392, 2nd Extension, Jayanagar, Bengaluru - 560102",560102,Karnataka,Bengaluru Rural,public_ltd,technology,+917991237357,raghav.menon@rediffmail.com,17-05-2006,05-10-2022,Closed
29IMCCT2509GLZB,IMCCT2509G,Gowda Enterprises,Sunita Gowda,"No. 470, 2nd Avenue, Varthur, Bengaluru - 560076",560076,Karnataka,Bengaluru Urban,partnership,trading,+917939313119,sunita.gowda@outlook.com,2016-01-03,29/06/2023,Inactive
,HRDTA9939S,Rao Works,Sunita Rao,"No. 40, 2nd Cross, Hoodi, Bengaluru - 560045",560045,Karnataka,Bengaluru Rural,proprietorship,trading,+918698673026,sunita.rao@rediffmail.com,2000-01-21,2026-03-06,Live
29WMJAM1486VSZ4,WMJAM1486V,Kumar Associates,Sohan Kumar,"No. 176, 2nd Layout, Koramangala, Bengaluru - 560009",560009,Karnataka,Bengaluru Urban,proprietorship,services,+919580564091,,17/07/2004,14/07/2025,Registered
,SSSFV2205P,Jain Traders,Krishna Jain,"No. 14, 2nd Main Road, Indiranagar, Bengaluru - 560025",560025,Karnataka,Bengaluru Rural,partnership,trading,+919417482633,krishna.jain@outlook.com,2019-12-30,22/04/2026,Registered
29FGBTV0684YZZ3,FGBTV0684Y,Kulkarni Constructions,Krishna Kulkarni,"No. 244, 3rd Road, HSR Layout, Bengaluru - 560073",560073,Karnataka,Bengaluru Rural,partnership,services,,,30/11/2001,01/12/2026,Active
29FVDAI3780RKZH,FVDAI3780R,Sharma Traders,,"No. 213, 2nd Main Road, Indiranagar, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,pvt_ltd,services,+919512534346,,2018-01-28,29-11-2026,ACTIVE
29KKWTH0423KJZJ,KKWTH0423K,Shenoy Solutions,Kiran Shenoy,"No. 499, 4th Avenue, Rajajinagar, Bengaluru - 560011",560011,Karnataka,Bengaluru Rural,partnership,technology,+917760494453,kiran.shenoy@gmail.com,11/12/2002,2024-02-18,Suspended
29UNOCG8200BCZH,UNOCG8200B,Kamath Mills,Ajay Kamath,"No. 349, 1st Main Road, Indiranagar, Bengaluru - 560085",560085,Karnataka,Bengaluru Rural,llp,manufacturing,+916518531876,,2002-03-24,2021-03-14,Struck Off
29QRGHQ0770E0ZE,QRGHQ0770E,Agarwal Manufacturing,,"No. 236, 3rd Main Road, Basavanagudi, Bengaluru - 560050",560050,Karnataka,Bengaluru Rural,proprietorship,trading,+917683156836,vinod.agarwal@rediffmail.com,2021-08-10,11-10-2025,active
29IHRTJ1520ZPZK,IHRTJ1520Z,Shenoy Exports,Sohan Shenoy,"No. 199, 1st Extension, JP Nagar, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,proprietorship,trading,+917725796588,,2021-02-12,2024-07-26,Suspended
29YXRCL2848LIZT,YXRCL2848L,Patel Works,Arun Patel,"No. 445, 4th Extension, Indiranagar, Bengaluru - 560066",560066,Karnataka,Bengaluru Rural,llp,manufacturing,+916081245943,,02-12-2014,03-10-2021,Cancelled
29BLFCS7470TRZP,BLFCS7470T,Bhat & Sons,,"No. 103, 3rd Road, Bommanahalli, Bengaluru - 560003",560003,Karnataka,Bengaluru Rural,pvt_ltd,manufacturing,+918007283153,rajesh.bhat@gmail.com,16/01/2013,02-09-2024,Suspended
,IXZFP3199M,Shetty Services,Suresh Shetty,"No. 87, 1st Cross, Peenya, Bengaluru - 560076",560076,Karnataka,Bengaluru Urban,llp,construction,+916825096606,suresh.shetty@outlook.com,17-07-2005,2026-12-20,ACTIVE
29FRAHV1567N6ZW,FRAHV1567N,Naidu Solutions,,"No. 103, 3rd Avenue, Mahadevapura, Bengaluru - 560025",560025,Karnataka,Bengaluru Urban,llp,technology,+917720429306,,2006-09-09,18-03-2023,Dormant
29SXQHJ2088JKZR,SXQHJ2088J,Sharma Technologies,Kavita Sharma,"No. 458, 4th Extension, Basavanagudi, Bengaluru - 560045",560045,Karnataka,Bengaluru Rural,partnership,manufacturing,,,2002-08-18,28/08/2026,active
29UREHY3068EVZ7,UREHY3068E,Patel Manufacturing,Neha Patel,"No. 445, 5th Avenue, Varthur, Bengaluru - 560001",560001,Karnataka,Bengaluru Urban,partnership,manufacturing,+917566474661,neha.patel@gmail.com,05/09/2022,2020-12-04,Cancelled
29TIIFB5538CSZ5,TIIFB5538C,Naidu Works,Suresh Naidu,"No. 212, 1st Extension, JP Nagar, Bengaluru - 560009",,Karnataka,Bengaluru Urban,pvt_ltd,construction,+919796856438,suresh.naidu@yahoo.co.in,22-03-2021,2024-04-08,Dormant
29CRAFU9257BVZ8,CRAFU9257B,Rao Manufacturing,,"No. 477, 4th Main Road, Indiranagar, Bengaluru - 560025",560025,Karnataka,Bengaluru Rural,proprietorship,construction,+918714985746,arun.rao@yahoo.co.in,06-03-2002,16-09-2022,Dissolved
29UXRCX8166KOZQ,UXRCX8166K,Gupta & Sons,,"No. 413, 2nd Main Road, Yelahanka, Bengaluru - 560040",560040,Karnataka,Bengaluru Rural,public_ltd,services,,,17-06-2014,27-12-2025,Active
,MORHV7828Z,Pandey Technologies,,"No. 103, 3rd Avenue, Jayanagar, Bengaluru - 560094",560094,Karnataka,Bengaluru Urban,llp,technology,+917610725346,ramesh.pandey@yahoo.co.in,28-08-2010,13/12/2024,Suspended
29SBJHZ9350ISZE,SBJHZ9350I,Prasad Services,Deepa Prasad,"No. 350, 1st Main Road, Electronic City, Bengaluru - 560058",560058,Karnataka,Bengaluru Urban,public_ltd,trading,+919345152371,deepa.prasad@yahoo.co.in,13-04-2002,09/11/2026,Live
29MOJTK5957FYZP,MOJTK5957F,Pillai Services,Pooja Pillai,"No. 151, 2nd Avenue, Basavanagudi, Bengaluru - 560045",560045,Karnataka,Bengaluru Rural,pvt_ltd,construction,+919132692083,,2012-09-07,06-02-2022,Struck Off
29ULBTG3009Y0Z4,ULBTG3009Y,Nair & Co.,Priya Nair,"No. 425, 4th Street, Bommanahalli, Bengaluru - 560029",560029,Karnataka,Bengaluru Urban,llp,construction,,,21/02/2018,03-02-2026,ACTIVE
,DASPY7083Q,Jain Agency,Vijay Jain,"No. 16, 4th Main Road, Bellandur, Bengaluru - 560052",560052,Karnataka,Bengaluru Urban,public_ltd,manufacturing,,vijay.jain@rediffmail.com,2006-05-05,10-08-2026,Registered
,KOCCX7729Q,Iyer Services,Divya Iyer,"No. 410, 5th Avenue, Bellandur, Bengaluru - 560022",560022,Karnataka,Bengaluru Urban,pvt_ltd,manufacturing,+916606215936,,2003-02-17,07/04/2026,Active
29QHPAS3340HRZH,QHPAS3340H,Bhat Agency,,"No. 157, 4th Extension, Brookefield, Bengaluru - 560047",,Karnataka,Bengaluru Urban,proprietorship,technology,+918602881767,,04-03-2018,07-02-2025,active
,GXOTY1385J,Singh & Sons,Sanjay Singh,"No. 340, 2nd Avenue, MG Road, Bengaluru - 560066",560066,Karnataka,Bengaluru Urban,proprietorship,services,,sanjay.singh@outlook.com,10/11/2011,2026-11-16,active
29NUKHB0619UGZY,NUKHB0619U,Pandey & Sons,Sanjay Pandey,"No. 460, 1st Extension, Sarjapur Road, Bengaluru - 560076",560076,Karnataka,Bengaluru Rural,partnership,services,+916924837808,sanjay.pandey@outlook.com,17-06-2003,2025-08-05,Registered
29EJSPV2874PAZQ,EJSPV2874P,Reddy Technologies,Kavita Reddy,"No. 263, 1st Extension, Sarjapur Road, Bengaluru - 560011",560011,Karnataka,Bengaluru Urban,llp,services,+919195496878,kavita.reddy@gmail.com,22/02/2021,25-02-2026,active
